id,name,real_name,birth_date,date_born,height,weight,height_cm,weight_kg,nationality,description,extract,debut,debut_year,retired,image_url,image_large,promotion,team,source,link,url
432,Jerry Lynn & Johnny Swinger & Simon Diamond & Tommy Dreamer,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
438,Pat Tanaka,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
441,Danny Doring & Roadkill & Tommy Dreamer,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
445,Bill Wiles,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
485,Chris Krueger,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
491,Cyrus & Lou E. Dangerously,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
492,Scotty Anton & Steve Corino,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
494,Chris Chetti & Christian York & Joey Matthews & Nova,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
499,Little Guido & Sal E. Graziano & Tony Mamaluke,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
500,Mikey Whipwreck & Psicosis & Yoshihiro Tajiri,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
534,Bill Wiles & The Prodigy,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
544,Jerry Lynn & Yoshihiro Tajiri,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
548,E. Z. Money & Julio Fantastico,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
584,Tony Mamaluke,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
586,Danny Doring,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
588,Roadkill,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
596,Julio Fantastico,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
602,Chris Hamrick & E. Z. Money,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
